evrk_section_code,evrk_section_title,evrk_chapter_code,evrk_chapter_title,evrk_group_code,evrk_group_title,evrk_class_code,evrk_class_title,evrk_subclass_code,evrk_subclass_title,object_id
Q,Žmonių sveikatos priežiūra ir socialinis darbas,88,Nesusijusio su apgyvendinimu socialinio darbo veikla,881,Nesusijusio su apgyvendinimu socialinio darbo su pagyvenusiais ir neįgaliaisiais asmenimis veikla,8810,Nesusijusio su apgyvendinimu socialinio darbo su pagyvenusiais ir neįgaliaisiais asmenimis veikla,881000,Nesusijusio su apgyvendinimu socialinio darbo su pagyvenusiais ir neįgaliaisiais asmenimis veikla,251
R,"Meninė, pramoginė ir poilsio organizavimo veikla",90,"Kūrybinė, meninė ir pramogų organizavimo veikla",900,"Kūrybinė, meninė ir pramogų organizavimo veikla",9004,Meno įrenginių eksploatavimo veikla,900400,Meno įrenginių eksploatavimo veikla,252
R,"Meninė, pramoginė ir poilsio organizavimo veikla",91,"Bibliotekų, archyvų, muziejų ir kita kultūrinė veikla",910,"Bibliotekų, archyvų, muziejų ir kita kultūrinė veikla",9103,Istorinių vietų ir pastatų bei panašių turistų lankomų vietų eksploatavimas,910300,Istorinių vietų ir pastatų bei panašių turistų lankomų vietų eksploatavimas,253
R,"Meninė, pramoginė ir poilsio organizavimo veikla",91,"Bibliotekų, archyvų, muziejų ir kita kultūrinė veikla",910,"Bibliotekų, archyvų, muziejų ir kita kultūrinė veikla",9104,Botanikos ir zoologijos sodų bei gamtos rezervatų veikla,910410,Zoologijos sodų veikla,254
R,"Meninė, pramoginė ir poilsio organizavimo veikla",91,"Bibliotekų, archyvų, muziejų ir kita kultūrinė veikla",910,"Bibliotekų, archyvų, muziejų ir kita kultūrinė veikla",9104,Botanikos ir zoologijos sodų bei gamtos rezervatų veikla,910420,Botanikos sodų veikla,255
R,"Meninė, pramoginė ir poilsio organizavimo veikla",92,Azartinių žaidimų ir lažybų organizavimo veikla,920,Azartinių žaidimų ir lažybų organizavimo veikla,9200,Azartinių žaidimų ir lažybų organizavimo veikla,920000,Azartinių žaidimų ir lažybų organizavimo veikla,256
R,"Meninė, pramoginė ir poilsio organizavimo veikla",92,Azartinių žaidimų ir lažybų organizavimo veikla,920,Azartinių žaidimų ir lažybų organizavimo veikla,9200,Azartinių žaidimų ir lažybų organizavimo veikla,920020,Azartinių lošimų ir lažybų organizavimo veikla,257
R,"Meninė, pramoginė ir poilsio organizavimo veikla",93,"Sportinė veikla, pramogų ir poilsio organizavimo veikla",930,"Sportinė veikla, pramogų ir poilsio organizavimo veikla",9300,"Sportinė veikla, pramogų ir poilsio organizavimo veikla",930000,"Sportinė veikla, pramogų ir poilsio organizavimo veikla",258
R,"Meninė, pramoginė ir poilsio organizavimo veikla",93,"Sportinė veikla, pramogų ir poilsio organizavimo veikla",931,Sportinė veikla,9319,Kita sportinė veikla,931900,Kita sportinė veikla,259
R,"Meninė, pramoginė ir poilsio organizavimo veikla",93,"Sportinė veikla, pramogų ir poilsio organizavimo veikla",932,Pramogų ir poilsio organizavimo veikla,9321,Atrakcionų ir teminių parkų veikla,932100,Atrakcionų ir teminių parkų veikla,260
